index;id;error;error_message;data
0;Kentika_ENSP2675;MISSING_MANDATORY_FIELD;001;
1;Kentika_ENSP247;MISSING_MANDATORY_FIELD;001;
2;Kentika_ENSP75921;MISSING_MANDATORY_FIELD;001;
3;Kentika_ENSP6675;MISSING_MANDATORY_FIELD;001;
4;Kentika_ENSP61129;MISSING_MANDATORY_FIELD;001;
5;Kentika_ENSP49147;MISSING_MANDATORY_FIELD;001;
6;Kentika_ENSP323;MISSING_MANDATORY_FIELD;001;
7;Kentika_ENSP50;MISSING_MANDATORY_FIELD;001;
8;Kentika_ENSP351;MISSING_MANDATORY_FIELD;001;
9;Kentika_ENSP76759;MISSING_MANDATORY_FIELD;001;
10;Kentika_ENSP1175;MISSING_MANDATORY_FIELD;001;
11;Kentika_ENSP74521;MISSING_MANDATORY_FIELD;001;
12;Kentika_ENSP426;MISSING_MANDATORY_FIELD;001;
13;Kentika_ENSP72545;MISSING_MANDATORY_FIELD;001;
14;Kentika_ENSP271;MISSING_MANDATORY_FIELD;001;
15;Kentika_ENSP76792;MISSING_MANDATORY_FIELD;001;
16;Kentika_ENSP816;MISSING_MANDATORY_FIELD;001;
17;Kentika_ENSP26547;MISSING_MANDATORY_FIELD;001;
18;Kentika_ENSP20640;MISSING_MANDATORY_FIELD;001;
19;Kentika_ENSPFICTIF000;MISSING_MANDATORY_FIELD;001;
20;Kentika_ENSPFICTIF001;MISSING_MANDATORY_FIELD;001;
21;Kentika_ENSP72793;MISSING_MANDATORY_FIELD;001;
22;Kentika_ENSP42;MISSING_MANDATORY_FIELD;001;
23;Kentika_ENSP9204;MISSING_MANDATORY_FIELD;001;
24;Kentika_ENSPFICTIF100;MISSING_MANDATORY_FIELD;001;
24;Kentika_ENSPFICTIF100;UNMAPPED_SUBFIELD;345 $2;=345  \\$2Hihihihi MarcEdit et son humour incroyable
25;Kentika_ENSPFICTIF106;MISSING_MANDATORY_FIELD;001;
26;Kentika_ENSPFICTIF111;MISSING_MANDATORY_FIELD;001;
26;Kentika_ENSPFICTIF111;UNMAPPED_SUBFIELD;182 $z;=182  \\$zARA ARA$6null$cn$2null
26;Kentika_ENSPFICTIF111;ILLEGAL_CONTROLED_VALUE;182 $2 ;null
26;Kentika_ENSPFICTIF111;ILLEGAL_AUTHORIZED_VALUE;700 $4 (qualif);999
26;Kentika_ENSPFICTIF111;ILLEGAL_AUTHORIZED_VALUE;701 $4 (qualif);999
26;Kentika_ENSPFICTIF111;ILLEGAL_AUTHORIZED_VALUE;711 $4 (qualif);952
27;Kentika_ENSPFICTIF112;MISSING_MANDATORY_FIELD;001;
28;Kentika_ENSPFICTIF1XX;MISSING_MANDATORY_FIELD;001;
